UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
31270544.88,-409923780.1,-9593920.83,40.55484124,-44.63103896,-3.206031004,187093721.6,-145620430,-10971069.85,30.14057293,-4.42524689,-1.487136165
34784862.29,-413739219.4,-9870962.348,40.79073405,-43.68827355,-3.206700965,189690969.6,-145997422.6,-11099154.25,29.98130701,-4.301972189,-1.477807125
38318427.32,-417472944.5,-10147992.79,41.0003637,-42.73962846,-3.205774755,192274559.4,-146363902.1,-11226439.47,29.82440075,-4.18186566,-1.468636057
41868964.82,-421124478.9,-10424874.32,41.18359414,-41.78583299,-3.203254536,194844692.4,-146720136.8,-11352938.98,29.66979713,-4.064808477,-1.459618522
45434188.73,-424693409.2,-10701469.36,41.34030921,-40.82761898,-3.19914365,197401565.1,-147066385.5,-11478665.85,29.51744086,-3.950687644,-1.450750248
49011803.82,-428179385.3,-10977640.66,41.47041268,-39.8657202,-3.193446616,199945369.3,-147402897.1,-11603632.8,29.36727829,-3.839395644,-1.442027119
52599507.4,-431582120.7,-11253251.41,41.57382818,-38.90087194,-3.186169121,202476292.5,-147729911.6,-11727852.2,29.21925741,-3.730830116,-1.433445172
56194991.07,-434901392.2,-11528165.36,41.65049925,-37.93381037,-3.17731801,204994517.3,-148047660.3,-11851336.08,29.07332776,-3.624893552,-1.425000592
59795942.36,-438137040.6,-11802246.88,41.70038925,-36.96527213,-3.166901283,207500222.3,-148356366.3,-11974096.15,28.92944038,-3.521493012,-1.416689697
63400046.53,-441288969.9,-12075361.07,41.7234814,-35.99599373,-3.154928078,209993582,-148656244.8,-12096143.81,28.7875478,-3.420539867,-1.408508944
67004988.23,-444357148.2,-12347373.92,41.71977864,-35.0267111,-3.141408667,212474766.7,-148947503.6,-12217490.15,28.64760397,-3.321949549,-1.400454911
70608453.22,-447341606.7,-12618152.29,41.68930362,-34.05815905,-3.126354444,214943942.8,-149230343.4,-12338145.97,28.50956419,-3.225641327,-1.392524301
74208130.06,-450242440.2,-12887564.12,41.63209861,-33.09107078,-3.109777912,217401273,-149504957.9,-12458121.81,28.3733851,-3.131538093,-1.384713933
77801711.8,-453059806.9,-13155478.46,41.54822543,-32.12617738,-3.091692673,219846916.1,-149771534.5,-12577427.92,28.23902465,-3.039566159,-1.377020736
81386897.69,-455793927.9,-13421765.58,41.43776531,-31.16420732,-3.072113414,222281027.6,-150030254.3,-12696074.28,28.106442,-2.949655074,-1.369441746
84961394.82,-458445087,-13686297.08,41.30081882,-30.20588599,-3.051055896,224703759.4,-150281292.3,-12814070.66,27.97559753,-2.861737448,-1.3619741
88522919.8,-461013630.8,-13948945.95,41.13750575,-29.25193519,-3.028536938,227115259.8,-150524818.1,-12931426.53,27.84645278,-2.775748786,-1.354615034
92069200.43,-463499968,-14209586.69,40.94796494,-28.30307267,-3.004574406,229515674.3,-150760995.5,-13048151.18,27.71897041,-2.69162734,-1.347361878
95597977.31,-465904568.9,-14468095.38,40.73235419,-27.36001162,-2.979187196,231905144.7,-150989983.3,-13164253.64,27.59311418,-2.60931396,-1.34021205
99107005.49,-468227965.5,-14724349.78,40.49085007,-26.42346024,-2.952395217,234283810.2,-151211935.4,-13279742.73,27.46884887,-2.528751961,-1.333163054
102594056.1,-470470750.5,-14978229.42,40.22364781,-25.49412125,-2.924219382,236651806.7,-151427000.6,-13394627.05,27.34614032,-2.449886997,-1.326212477
106056917.9,-472633577.4,-15229615.66,39.93096104,-24.57269144,-2.894681583,239009267.1,-151635323.2,-13508915.01,27.22495531,-2.372666941,-1.319357986
109493398.9,-474717159.3,-15478391.83,39.61302172,-23.6598612,-2.863804681,241356321.9,-151837043.3,-13622614.82,27.10526158,-2.297041773,-1.312597322
112901327.9,-476722268.8,-15724443.23,39.27007985,-22.75631411,-2.831612489,243693098.4,-152032296.6,-13735734.47,26.98702779,-2.222963477,-1.3059283
116278556.3,-478649737.2,-15967657.3,38.90240336,-21.86272644,-2.798129748,246019721.5,-152221214.6,-13848281.8,26.87022347,-2.15038594,-1.299348803
119622959.1,-480500454,-16207923.62,38.51027783,-20.97976676,-2.763382117,248336313.3,-152403925.2,-13960264.46,26.75481903,-2.079264859,-1.292856782
122932436.9,-482275366,-16445134.06,38.09400632,-20.10809547,-2.727396148,250642993.7,-152580552.3,-14071689.92,26.64078568,-2.009557654,-1.286450254
126204917.2,-483975476.8,-16679182.8,37.65390912,-19.24836443,-2.690199272,252939879.8,-152751216.3,-14182565.47,26.52809545,-1.941223385,-1.280127296
129438355.9,-485601845.8,-16909966.43,37.19032353,-18.40121647,-2.651819776,255227086.5,-152916034.1,-14292898.27,26.41672112,-1.874222675,-1.273886043
132630738.8,-487155587.6,-17137384.04,36.70360361,-17.56728502,-2.612286788,257504726.3,-153075119.3,-14402695.28,26.30663622,-1.808517633,-1.267724691
135780083,-488637871.2,-17361337.23,36.19411993,-16.7471937,-2.57163025,259772909.6,-153228582.3,-14511963.34,26.19781503,-1.744071791,-1.261641488
138884438.2,-490049919,-17581730.27,35.66225931,-15.94155589,-2.529880904,262031744.4,-153376530.2,-14620709.13,26.09023248,-1.680850032,-1.255634735
