UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
154724262.7,-396448014.5,-17003197.66,42.55245547,-15.30689742,-2.930916225,200918166.5,-170797983.9,-12596363.87,28.19153767,-4.139049263,-1.425523044
158382984.6,-397732790.6,-17254883.04,42.1361839,-14.43522606,-2.89493025,203348527.5,-171151032.7,-12719191.53,28.06705904,-4.033755991,-1.417728023
162004709.1,-398942765.4,-17503406.73,41.69608664,-13.57549494,-2.857733369,205768195.5,-171495081.2,-12841350.36,27.9440112,-3.930697295,-1.410040264
165587391.9,-400078998.5,-17748665.31,41.23250099,-12.7283469,-2.819353868,208177293.1,-171830319.6,-12962849.51,27.82236849,-3.829804392,-1.402457349
169129019,-401142604.4,-17990557.86,40.74578101,-11.89441538,-2.779820874,210575940.5,-172156931.9,-13083697.94,27.70210573,-3.731011264,-1.39497693
172627607.3,-402134752.1,-18228986,40.23629727,-11.07432398,-2.739164331,212964256,-172475097,-13203904.41,27.58319824,-3.634254514,-1.387596728
176081206.7,-403056663.9,-18463853.98,39.7044366,-10.2686861,-2.69741498,215342355.5,-172784988,-13323477.48,27.46562184,-3.539473249,-1.38031453
179487901.1,-403909614.7,-18695068.74,39.15060181,-9.478104505,-2.654604341,217710353.1,-173086773.1,-13442425.52,27.34935281,-3.446608952,-1.37312819
182845809.8,-404694931,-18922539.97,38.57521142,-8.703170963,-2.610764686,220068360.7,-173380615.6,-13560756.73,27.23436793,-3.355605369,-1.366035621
186153089.3,-405413990,-19146180.19,37.97869937,-7.944465848,-2.565929023,222416488.2,-173666673.8,-13678479.12,27.12064445,-3.266408406,-1.359034797
189407933.7,-406068218.5,-19365904.79,37.36151476,-7.202557765,-2.520131072,224754843.7,-173945101.5,-13795600.53,27.00816009,-3.178966025,-1.352123751
192608577,-406659091.8,-19581632.12,36.72412151,-6.478003181,-2.473405241,227083533.3,-174216048.2,-13912128.64,26.89689304,-3.093228147,-1.345300572
195753293.7,-407188132.9,-19793283.51,36.06699808,-5.771346061,-2.425786607,229402661.3,-174479659,-14028070.95,26.78682193,-3.009146565,-1.338563402
198840400.2,-407656911.1,-20000783.36,35.39063712,-5.083117508,-2.377310889,231712330,-174736075.1,-14143434.82,26.67792585,-2.926674854,-1.331910435
201868256.3,-408067041.2,-20204059.19,34.69554522,-4.413835413,-2.328014427,234012640.1,-174985433.5,-14258227.44,26.57018432,-2.845768295,-1.325339918
204835265.9,-408420182.1,-20403041.68,33.9822425,-3.764004113,-2.277934159,236303690.5,-175227867.7,-14372455.88,26.46357732,-2.766383794,-1.318850144
207739878.7,-408718035.5,-20597664.72,33.25126233,-3.134114052,-2.227107594,238585578.4,-175463507.3,-14486127.03,26.35808522,-2.688479812,-1.312439455
210580590.7,-408962345,-20787865.47,32.50315096,-2.524641452,-2.17557279,240858399.2,-175692478.5,-14599247.65,26.25368883,-2.612016296,-1.306106239
213355945.9,-409154894.9,-20973584.41,31.73846717,-1.936047986,-2.123368328,243122246.8,-175914904.1,-14711824.37,26.15036936,-2.536954613,-1.299848926
216064537,-409297508.3,-21154765.36,30.95778191,-1.368780469,-2.070533289,245377213.5,-176130903.5,-14823863.68,26.04810843,-2.463257486,-1.29366599
218705006.5,-409392046.8,-21331355.54,30.16167797,-0.823270543,-2.017107226,247623389.9,-176340593.2,-14935371.95,25.94688803,-2.390888942,-1.287555947
221276047.9,-409440408.1,-21503305.62,29.35074955,-0.29993438,-1.96313014,249860865.2,-176544086.4,-15046355.41,25.84669056,-2.31981425,-1.281517352
223776406.5,-409444525.6,-21670569.72,28.52560192,0.200827614,-1.908642454,252089727,-176741493.4,-15156820.17,25.74749879,-2.249999869,-1.275548799
226204880.2,-409406366.3,-21833105.5,27.68685102,0.678631083,-1.853684987,254310061.5,-176932921.7,-15266772.22,25.64929585,-2.181413401,-1.269648919
228560320.6,-409327929.9,-21990874.15,26.83512305,1.133108,-1.798298925,256521953.4,-177118476.1,-15376217.44,25.55206523,-2.11402354,-1.263816378
230841634,-409211247.2,-22143840.41,25.97105412,1.563906939,-1.742525797,258725485.9,-177298258.6,-15485161.59,25.45579078,-2.047800028,-1.25804988
233047781.9,-409058378.4,-22291972.66,25.09528979,1.970693331,-1.686407448,260920741.1,-177472368.7,-15593610.33,25.36045669,-1.982713614,-1.25234816
235177782.1,-408871412.1,-22435242.89,24.20848468,2.353149725,-1.629986009,263107799.5,-177640903.4,-15701569.18,25.26604749,-1.918736006,-1.246709988
237230709.2,-408652463.5,-22573626.73,23.31130203,2.710976028,-1.573303872,265286740.3,-177803957.4,-15809043.61,25.17254803,-1.855839842,-1.241134164
239205695.5,-408403672.9,-22707103.52,22.4044133,3.043889743,-1.516403661,267457641.5,-177961623,-15916038.93,25.07994349,-1.793998643,-1.235619519
241101931.8,-408127204.5,-22835656.24,21.48849773,3.351626197,-1.459328203,269620579.9,-178113990,-16022560.39,24.98821936,-1.733186785,-1.230164915
242918667.8,-407825244.2,-22959271.62,20.56424188,3.633938759,-1.4021205,271775630.8,-178261146.6,-16128613.12,24.89736144,-1.67337946,-1.224769241
244655212.6,-407499998.7,-23077940.1,19.6323392,3.89059905,-1.344823704,273922868.5,-178403178.3,-16234202.18,24.80735581,-1.614552648,-1.219431415
